# ViT-L/16 DP, world_size=4, global_batch=192
epoch,train_loss,train_acc,throughput,epoch_time
1,1.9716,0.2868,125.71,397.09
2,1.5833,0.4286,125.60,397.47
3,1.4236,0.4852,125.49,397.79
4,1.2936,0.5310,125.48,397.83
5,1.2219,0.5585,125.51,397.73
6,1.1382,0.5881,125.51,397.75
7,1.0672,0.6176,125.60,397.44
8,1.0175,0.6349,125.65,397.28
9,0.9637,0.6550,125.78,396.89
10,0.9204,0.6708,125.87,396.61
